Version,Release Date,New OS Supported,Release Notes
2.13.11,2018-03-09,,`2.13.11 Release Notes <https://github.com/xcat2/xcat-core/wiki/XCAT_2.13.11_Release_Notes>`_
2.13.10,2018-01-26,,`2.13.10 Release Notes <https://github.com/xcat2/xcat-core/wiki/XCAT_2.13.10_Release_Notes>`_
2.13.9,2017-12-18,,`2.13.9 Release Notes <https://github.com/xcat2/xcat-core/wiki/XCAT_2.13.9_Release_Notes>`_
2.13.8,2017-11-03,,`2.13.8 Release Notes <https://github.com/xcat2/xcat-core/wiki/XCAT_2.13.8_Release_Notes>`_
2.13.7,2017-09-22,,`2.13.7 Release Notes <https://github.com/xcat2/xcat-core/wiki/XCAT_2.13.7_Release_Notes>`_
2.13.6,2017-08-10,"RHEL 7.4",`2.13.6 Release Notes <https://github.com/xcat2/xcat-core/wiki/XCAT_2.13.6_Release_Notes>`_
2.13.5,2017-06-30,,`2.13.5 Release Notes <https://github.com/xcat2/xcat-core/wiki/XCAT_2.13.5_Release_Notes>`_
2.13.4,2017-05-09,"RHV 4.1",`2.13.4 Release Notes <https://github.com/xcat2/xcat-core/wiki/XCAT_2.13.4_Release_Notes>`_
2.13.3,2017-04-14,"RHEL 6.9",`2.13.3 Release Notes <https://github.com/xcat2/xcat-core/wiki/XCAT_2.13.3_Release_Notes>`_
2.13.2,2017-02-24,,`2.13.2 Release Notes <https://github.com/xcat2/xcat-core/wiki/XCAT_2.13.2_Release_Notes>`_
2.13.1,2017-01-13,,`2.13.1 Release Notes <https://github.com/xcat2/xcat-core/wiki/XCAT_2.13.1_Release_Notes>`_
2.13.0,2016-12-09,"SLES 12.2",`2.13.0 Release Notes <https://github.com/xcat2/xcat-core/wiki/XCAT_2.13_Release_Notes>`_
